name
Kolkata Knight Riders
Rajasthan Royals
Gujarat Titans
Chennai Super Kings
Lucknow Super Giants
Delhi Capitals
Mumbai Indians
Sunrisers Hyderabad
Royal Challengers Bangalore
Punjab Kings
